,GABRA5,EOMES,PTPN1,CALM3,NCR1,SHC3,ACADM,IL1B,HEXB,ACOT13,RBX1,HMOX1,NWD1,HDAC2,KCNQ3,MYO5A,CD47,ATP2A2,B2M,S100A12,C3AR1,GJD2,PPP3CB,AMPH,MTOR,TLN2,ADGRA2,CYP2U1,EIF2AK1,GAL3ST1,HSPA9,PSMA5,RORB,CD8A,CD200,TMSB4X,TNFRSF17,PSMB8,PRKAG1,ACAT2,TSC1,CCL2,LAIR1,ADGRL4,PTGIS,PRKCZ,CTSD,MEF2A,ABCB1,CYFIP2,GZMA,SKP1,SLC25A4,GLUL,MKI67,PGK1,RET,OLFM3,NCKAP1,KRAS,ADORA1,NKIRAS1,SYN2,MAP2K4,LAMTOR3,GAS7,TRAT1,KCNV1,SEC61A2,SERPING1,IFIT1,CHRNB2,TRIM2,CACNA2D1,ASS1,ATG5,GRM7,CTSB,GJB1,OPA1,ATP9A,GRIN3A,USP2,SLC12A5,MEAF6,PRKAB1,CD3E,LAG3,PSEN1,UBE3C,FBXL3,CPA3,MX1,HLA-E,NDUFA10,PRKAR1A,KLRB1,NOSTRIN,ENTPD2,CNTNAP1,SLC46A1,GNLY,CD74,CD200R1,GNAI1,ERBB3,UBE2G1,THRB,NAP1L2,RIMS1,AKT1,RECK,PLXNB3,PMEPA1,YWHAE,TANC2,KLRK1,SNAP25,CSF1R,AIF1,DDAH1,NPTN,ABCA1,ARNTL,VDAC1,IL34,DNM3,IFNAR1,UBQLN1,ADAMTS1,PECAM1,ENO2,MMUT,GAS6,AHCYL1,ADCY1,SHANK2,GRIA3,LSR,YWHAZ,ATR,KIR2DL3,CXCL8,GNG2,SALL3,MAD2L1,HSD11B1,CD33,GOT1,ITGA7,PSMD10,C9orf72,TRIM3,IMMT,GPR17,GPRASP1,BASP1,SLC9A6,DCLK1,SLC24A3,TRIM37,TFEC,MTMR4,CD34,NSF,GBP2,DIAPH1,NES,CCNA1,SCN1A,NF1,IL4,PAK1,LRRC7,CTSF,MAG,TNFRSF11A,MYORG,TGFBR1,GABRD,CTSW,BACE1,SLC25A12,DYNC1LI1,STAT3,PKD2,IFIT3,GRIN2A,CCL3,UBQLN2,ABCC3,ANK2,ATP2B3,PNOC,ABI2,TUSC3,DLD,DMD,ESAM,ATP6V1G2,CASP3,SPARC,P2RY11,SLC2A5,INPP5F,DOCK3,LYZ,FOXP3,GZMH,ATP1B1,SERINC3,KCND1,LPL,HADH,MAP3K4,HCN1,DNAJA2,NOS1AP,SEC23A,RNF10,TENM4,PRF1,CCNH,HILPDA,ITGAM,LRRC25,BDNF,CCL13,STAT2,PIK3R1,IL10RA,TSPAN7,RLIM,F11R,CHRM3,ELOC,GPR34,FIG4,SERPINE2,CST7,SRPRA,ADORA3,NRXN1,IGFBP5,INA,ATP2B2,SCD5,GNB1,SIRPA,ZPR1,GRM1,CLTC,MBTPS1,SLC7A8,DNAJB9,DLX2,AKT3,APOE,TLR3,TMEM100,VDAC3,KITLG,MOG,TH,AMIGO1,FA2H,CHRM2,AMIGO2,ERLEC1,POR,PLCB4,RASA1,SCOC,CALM1,TIAM1,CDC42,ATP6V0D1,BRAF,CD3D,PTPRZ1,PDGFRA,NINJ2,LAMP2,GNAS,NEFL,PHYH,CD109,CSPG4,BAX,SLCO2B1,MAPK1,RAPGEF2,GAD2,SLC1A3,GDNF,FABP5,TPSAB1/B2,FCGRT,FLT1,CUX2,ADORA2B,P2RY13,CAMK2G,AQP4,NMNAT2,CD14,CNTNAP2,APLP2,PRKDC,CROT,NOS2,ACSL4,KIR3DL2,TXN,CDC27,CLDN5,PPP2R2B,DNAJC11,C1QBP,ACSL3,SCN8A,LTC4S,ADRB1,AXL,KHSRP,P2RX7,B3GNT5,PPT1,SIGLEC5,ATF2,DAGLA,TRIM45,BUB3,ICAM2,C1QC,CACNA2D3,RHOB,TAP1,TICAM1,BHLHE41,ULK1,ITGAX,ABCG2,PPM1L,SH3GL2,SLC11A1,WASF1,RNASEL,LGMN,ATP6V1G1,IL6,JAK2,NCAM1,TSPO,FBXW11,SLC38A1,CD8B,ATP6V1B2,NEFH,PPP2CA,C1QB,GDPD2,CAMK2D,SYBU,HSP90AB1,SELPLG,C1QA,GPHN,DNAJC5,CD244,KLHL12,SLC9B2,CD9,BCAS1,DNM1,VEGFA,PPM1A,ATP6V1D,CST3,GSK3B,B4GALT5,STAB1,CD163,REEP5,ATP6V1C1,FCAR,ALAS1,TGFB1,CHCHD3,NRCAM,SYT1,SPI1,UBE2N,NCAN,CALM2,TJP1,TIE1,YWHAQ,TRIM17,RASGRP1,CHI3L1,SPHK1,MERTK,CABLES1,XCL1/2,HSD17B4,SALL1,CD68,RANBP9,RAD23B,SYT13,TREM2,RASGRF1,UNC79,PIK3CB,ARL6IP5,IP6K2,ARPC5L,WDR35,SUGT1,HK1,HSPA1A,NCF1,MYCT1,SLPI,AP3M2,BIN1,THY1,MAP2,P2RY12,KIR3DL1,PDHA1,CAMK4,NGF,SMAD3,SCP2,SYN1,PTPN11,GRK3,MAFB,ATG2B,HAMP,CLCF1,GABARAPL1,PLEKHB1,SLC38A2,CRKL,ANKH,EID1,SRGN,TM4SF1,C3,ASNS,ENTPD1,JAK1,LGALS3,NCAM2,MBP,GALC,RTN1,GZMB,ZNF365,TRIM68,B4GALT6,CLEC7A,E2F3,CHN1,PTGS2,PTK2,SUMO1,FPR1,TIMP2,CSF1,C4A/B,SPP1,P2RY6,ATG12,CUL1,CYBB,TRIM26,GPNMB,BECN1,IGF1,XK,ELMO1,OLIG1,PARP2,P2RY1,ATP5MC3,CCNB1,ETV5,STAT1,UBE2D2,FGF13,CTTNBP2NL,GNG3,NLK,IL18,TMEM47,TMEM88B,TBR1,CX3CL1,TLR4,SLC17A7,ALDH1L1,MSR1,S100A10,SIRT5,ATP5PB,IFNGR2,CA2,SPTAN1,ACLY,DRD1,FBLN5,PDHB,GRIA1,CX3CR1,UNC80,TRIM35,ATP1A1,DUSP3,NRG1,SLC10A6,SYT4,CKB,PLAA,GRB2,GLRA3,GMPR2,FGF2,TNFRSF21,CTSS,TRAC,SLC17A6,KLRD1,CD40,GLS,ADH5,SERPINA3,KPNA1,PCCA,HMGB1,NLRP1,GRIA2,QDPR,EIF2B5,CEP68,PANX1,CYP4X1,GABRB3,STAMBPL1,CTSL,CTNNB1,SPIB,CDK7,OLFML3,SLC6A1,PRKACB,KCND2,FOS,KCNK13,JUN,EGF,CNTF,SLC8A1,GAD1,MYRF,EPB41L3,NUAK1,SAMM50,FTH1,TBK1,PSMD14,PRKCI,APP,TYROBP,ERMN,UBE4B,FAM30A,TBX21,ITM2A,RFX4,GFAP,MAPT,TCL1A,PGAM1,CACNA1B,ATP6V1E1,MS4A1,GABRA3,BTRC,UGT8,MAPK9,STXBP1,MS4A2,IRF8,IL10,GSN,SYNGR1,LPAR6,ISLR2,CNR1,KCNQ5,PRKCE,TLR7,ATP5F1B,OPCML,MAPK10,ATP6V1A,PRKCD,EGR1,PROS1,PTH2R,PLLP,CD19,BLK,LAMP1,NLRP3,ARPC2,RTN4,ORC3,OR5V1,TMEM119,RXFP1,FCRL2,KCTD12,HDC,ADAR,MAL2,CPNE2,FCGR3A/B,GPM6A,EPB41L2,SERPINI1,ADGRG1,PSMD6,SGCE,ABCC8,SELENOS,PTPRM,PDPK1,SQSTM1,EMP1,KCNAB1,PIAS1,VIM,PTK2B,YWHAH,OLIG2,DLAT,IL21R,SH2D1A,GRIK2,ATP2B4,CDK5R1,STMN1,EMCN,CD209,HLA-A,STMN4,S100B,PLP1,CD3G,CD84,CEACAM3,GRM2,FCGR1A/B,PRKCQ,PDE1A,PPP3R1,TARDBP,CD44,CD4,RAB3A,PTGER4,DLGAP1,LTA4H,CD6,PTX3,IL1A,MKRN1,CSF3R,PSMC6,MAP1LC3B,ATP8A2,ARG2,TNF,MAPK8,GLA,ORC4,GRN,UCHL1,ACADSB,CCR5,SOD1,PFKP,ABCE1,PLXDC2,HACD3,NDUFB5,ADCYAP1R1,SLC12A2,DNM1L,ITPR1,GABRA1,TRIM46,CFI,DLX1,HACD2,CSNK2A1/3,MAPK13,PTPRC,GPR84,P2RY14,CACNA1E,ALDH1A1,CYSLTR1,ADAM22,ATRN,SOX9,ACAT1,GABRA4,CNP,GRIA4,ROCK2,BHLHE40,SOX10,LILRB4,YWHAG,TLR2,RAB6B,MAPK14,C1R,ANAPC1,GABRG2,SOX2,PRKAB2,EGFR,TPI1,MAP2K1,ATP6V1H,CAMK2A,CLTA,HPGDS,CUL2,HECTD1,GLRB,SORL1,C1S,NPAS2,TGM1,MS4A4A,NKG7,AGMO,PMP22,HTR5A,POS_C(8),POS_A(128),POS_F(0.125),POS_D(2),POS_B(32),POS_E(0.5),NEG_C(0),NEG_D(0),NEG_E(0),NEG_A(0),NEG_H(0),NEG_G(0),NEG_F(0),NEG_B(0),GUSB,XPNPEP1,TBP,CCDC127,AARS1,MTO1,CNOT10,SUPT7L,ASB7,FAM104A,LARS1,TADA2B,CSNK2A2
,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
AD_E04-186,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Control_E05-130,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Control_E08-101,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
